"Installment Price","Preço Parcelado"
"Interest Rate Initial (%)","Taxa de Juros Inicial (%)"
"Interest Rate Incremental (%)","Taxa de Juros Incremental (%)"
"Number","Número"
"Max Without Interest","Máx. Sem juros"
"Is Enabled on Listing?","Habilitar na Listagem?"
"Show only last on Listing?","Mostrar só a última parcela na Listagem?"
"Is Enabled on Product page?","Habilitar na pág. de Produto?"
"Show only last on Product Page?","Mostrar só a última parcela na pág. de Produto?"
"%qty time of %total","%qtyx de %total"
"%qty times of %price with an interest rate of %interest_rate% per month (%interest_amount of interest) totalizing %total","%qtyx de %price com juros de %interest_rate% a.m. (Total %total)"
"%qty times of %price without interest totalizing %total","%qtyx de %price sem juros (Total %total)"